Category,Type,Name,File,Line,Column,Context
dataSources,read_operation,findByIdAndUpdate,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,123,24,"let {id}= req.params;
    let listing = await Listing.findByIdAndUpdate(id, {...req.body.listing});"
dataSources,read_operation,findByIdAndDelete,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,140,31,"let {id}= req.params;
    let deletedListing = await Listing.findByIdAndDelete(id);
    // console.log(deletedListing);"
dataSources,read_operation,findById,d:\CodeAnalysis\TravelCrafter\controllers\reviews.js,6,24,"module.exports.createReview = (async (req,res)=>{
    let listing = await Listing.findById(req.params.id);
    let newReview = new Review(req.body.review);"
dataSources,read_operation,findByIdAndUpdate,d:\CodeAnalysis\TravelCrafter\controllers\reviews.js,20,10,"let {id, reviewId} = req.params;
    await Listing.findByIdAndUpdate(id,{$pull:{reviews:reviewId}})
    await Review.findByIdAndDelete(reviewId);"
dataSources,read_operation,findByIdAndDelete,d:\CodeAnalysis\TravelCrafter\controllers\reviews.js,21,10,"await Listing.findByIdAndUpdate(id,{$pull:{reviews:reviewId}})
    await Review.findByIdAndDelete(reviewId);
    req.flash(""success"",""Review deleted!"");"
dataSources,read_operation,findById,d:\CodeAnalysis\TravelCrafter\middleware.js,26,24,"let {id}= req.params;
    let listing = await Listing.findById(id);
    if(!listing.owner._id.equals(res.locals.currUser._id)){"
dataSources,read_operation,findById,d:\CodeAnalysis\TravelCrafter\middleware.js,62,23,"let review = await Review.findById(reviewId);
    if(!review.author._id.equals(res.locals.currUser._id)){"
dataSources,read_operation,getElementById,d:\CodeAnalysis\TravelCrafter\public\js\index.js,3,16,"let taxSwitch = document.getElementById(""flexSwitchCheckDefault"");
taxSwitch.addEventListener(""click"", ()=>{"
dataSources,read_operation,getElementsByClassName,d:\CodeAnalysis\TravelCrafter\public\js\index.js,5,18,"taxSwitch.addEventListener(""click"", ()=>{
    let taxInfo = document.getElementsByClassName(""tax-info"");
    for(info of taxInfo)"
dataSources,read_operation,getElementById,d:\CodeAnalysis\TravelCrafter\public\js\index.js,18,0,"// Set the selected category value to the hidden input field
document.getElementById('selectedCategory').value = category;"
dataSources,read_operation,getElementById,d:\CodeAnalysis\TravelCrafter\public\js\index.js,21,0,"// Submit the form
document.getElementById('filterForm').submit();
}"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\routes\listing.js,15,0,"// listings routes
router
    .route(""/"")
    .get(wrapAsync(ListingController.index)) //Index route
    .post(isLoggedIn, upload.single('listing[image]') , validateListing , wrapAsync(ListingController.createListing)) //Create route"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\routes\listing.js,23,0,"//New Route
router.get(""/new"",isLoggedIn,ListingController.renderNewForm);"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\routes\listing.js,29,0,"// Search  Route
router.get(""/search"", wrapAsync(ListingController.showSearch));"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\routes\listing.js,33,0,"// listings/:id routes
router
    .route(""/:id"")
    .get(wrapAsync(ListingController.showListing))  //Show route
    .put(isLoggedIn, isOwner, upload.single('listing[image]'), validateListing , wrapAsync(ListingController.updateListing)) //Update route"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\routes\listing.js,41,0,"//Edit Route
router.get(""/:id/edit"" , isLoggedIn , isOwner, wrapAsync(ListingController.renderEditForm));"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\routes\user.js,10,0,"router
    .route(""/signup"")
    .get(userController.renderSignupForm)
    .post(wrapAsync(userController.signup))"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\routes\user.js,16,0,"router
    .route(""/login"")
    .get(userController.renderLoginForm)
    .post( saveRedirectUrl , passport.authenticate(""local"", {failureRedirect: '/login', failureFlash :true}), userController.login)"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\routes\user.js,22,0,"router.get(""/logout"",userController.logout);"
authFlows,auth_mechanism,session,d:\CodeAnalysis\TravelCrafter\app.js,81,8,"app.use(session(sessionOptions));
app.use(flash());"
authFlows,auth_mechanism,sessionOptions,d:\CodeAnalysis\TravelCrafter\app.js,81,16,"app.use(session(sessionOptions));
app.use(flash());"
authFlows,auth_mechanism,passport,d:\CodeAnalysis\TravelCrafter\app.js,84,8,"app.use(passport.initialize());
app.use(passport.session());"
authFlows,auth_mechanism,passport,d:\CodeAnalysis\TravelCrafter\app.js,85,8,"app.use(passport.initialize());
app.use(passport.session());
passport.use(new LocalStrategy(User.authenticate()));"
authFlows,auth_mechanism,passport,d:\CodeAnalysis\TravelCrafter\app.js,86,0,"app.use(passport.session());
passport.use(new LocalStrategy(User.authenticate()));"
authFlows,auth_mechanism,passport,d:\CodeAnalysis\TravelCrafter\app.js,89,0,"// use static serialize and deserialize of model for passport session support
passport.serializeUser(User.serializeUser());
passport.deserializeUser(User.deserializeUser());"
authFlows,auth_mechanism,passport,d:\CodeAnalysis\TravelCrafter\app.js,90,0,"passport.serializeUser(User.serializeUser());
passport.deserializeUser(User.deserializeUser());"
authFlows,auth_mechanism,mapToken,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,6,52,const geocodingClient = mbxGeocoding({ accessToken: mapToken });
authFlows,auth_mechanism,passportLocalMongoose,d:\CodeAnalysis\TravelCrafter\models\user.js,14,18,userSchema.plugin(passportLocalMongoose);
authFlows,auth_mechanism,mapToken,d:\CodeAnalysis\TravelCrafter\public\js\map.js,2,23,mapboxgl.accessToken = mapToken;
authFlows,auth_mechanism,isReviewAuthor,d:\CodeAnalysis\TravelCrafter\routes\review.js,16,8,"isLoggedIn,
        isReviewAuthor,
        wrapAsync(reviewController.deleteReview));"
authFlows,auth_mechanism,passport,d:\CodeAnalysis\TravelCrafter\routes\user.js,19,29,".get(userController.renderLoginForm)
    .post( saveRedirectUrl , passport.authenticate(""local"", {failureRedirect: '/login', failureFlash :true}), userController.login)"
authFlows,auth_mechanism,mapToken,d:\CodeAnalysis\TravelCrafter\test.js,7,52,const geocodingClient = mbxGeocoding({ accessToken: mapToken });
dataModels,class,ExpressError,d:\CodeAnalysis\TravelCrafter\utils\ExpressError.js,1,0,"class ExpressError extends Error {
  constructor(statusCode, message) {
    super();
    this.statusCode = statusCode;
    this.message = message;
  }
}"
